Make,Model,Variant,Ex-Showroom_Price,Displacement,Cylinders,Valves_Per_Cylinder,Drivetrain,Cylinder_Configuration,Emission_Norm,Engine_Location,Fuel_System,Fuel_Tank_Capacity,Fuel_Type,Height,Width,Body_Type,Doors,ARAI_Certified_Mileage,Gears,Ground_Clearance,Front_Brakes,Rear_Brakes,Front_Suspension,Rear_Suspension,Power_Steering,Power_Windows,Power,Torque,Odometer,Speedometer,Tachometer,Tripmeter,Seating_Capacity,Type,12v_Power_Outlet,Audiosystem,Basic_Warranty,Boot-lid_Opener,Boot_Space,Central_Locking,Child_Safety_Locks,Clock,Door_Pockets,Engine_Malfunction_Light,Fuel-lid_Opener,Fuel_Gauge,Multifunction_Display,ABS_(Anti-lock_Braking_System),EBD_(Electronic_Brake-force_Distribution),Number_of_Airbags,USB_Compatibility,EBA_(Electronic_Brake_Assist),Seat_Height_Adjustment,Selling_Price
33,115,409,542,128,3.0,4.0,2,1,0,1,0,5,5,78,11,5,5.0,211,1,43,2,0,82,159,0,0,305,336,1,2,5,3,5.0,4,4,1,3,0,48,1,1,1,0,1,0,2,1,1,1,2.0,1,0,2,17.1
33,115,408,566,128,3.0,4.0,2,1,0,1,0,5,5,78,11,5,5.0,226,1,43,2,0,82,159,0,0,305,336,1,2,3,3,5.0,1,4,4,7,0,48,1,1,1,0,1,0,2,1,1,1,2.0,1,0,2,17.38
24,72,330,433,8,4.0,4.0,3,1,0,0,0,10,5,174,4,6,5.0,73,1,29,2,0,113,0,0,0,320,2,1,0,5,3,5.0,4,4,6,9,0,74,0,1,1,1,1,3,2,1,1,1,1.0,0,0,2,16.84
24,72,356,452,8,4.0,4.0,2,1,0,0,0,10,5,174,4,6,5.0,73,1,29,2,0,113,0,0,0,322,2,1,0,5,3,7.0,4,4,6,9,0,30,0,1,1,1,1,0,2,1,1,1,1.0,0,0,2,17.63
24,72,332,458,8,4.0,4.0,3,1,0,0,0,10,5,174,4,6,5.0,73,1,29,2,0,113,0,0,0,320,2,1,0,5,3,5.0,4,4,6,9,0,74,0,1,1,1,1,3,2,1,0,0,3.777288732394366,0,0,2,16.76
24,72,333,545,8,4.0,4.0,3,1,0,0,0,10,0,174,4,6,5.0,210,1,29,2,0,104,0,0,0,289,331,1,0,5,3,5.0,4,4,6,9,0,74,0,1,1,1,1,3,2,1,1,1,1.0,0,0,2,17.31
24,72,334,522,8,4.0,4.0,3,1,0,0,0,10,0,174,4,6,5.0,210,1,29,2,0,113,0,0,0,289,331,1,0,5,3,5.0,4,4,6,9,0,74,0,1,1,1,1,3,2,0,1,1,1.0,0,0,2,17.0
24,22,624,451,127,3.0,4.0,2,1,2,1,0,7,5,69,5,5,5.0,227,1,29,2,0,51,3,4,0,306,334,1,0,5,3,5.0,4,4,6,9,0,13,0,1,1,0,1,0,2,1,1,1,1.0,0,0,2,18.32
24,22,908,461,127,3.0,4.0,2,1,2,1,0,7,5,69,5,5,5.0,227,1,29,2,0,51,3,4,1,307,334,1,0,0,3,5.0,4,4,3,9,0,13,1,1,1,0,1,0,2,1,1,1,1.0,1,0,2,17.7
24,22,623,440,127,3.0,4.0,2,1,2,1,0,7,5,69,5,5,5.0,227,1,29,2,0,51,3,0,0,306,334,1,0,5,3,5.0,4,4,6,9,0,13,0,1,1,0,1,0,2,1,1,1,1.0,0,0,2,18.27
24,22,909,512,127,3.0,4.0,2,1,2,1,0,7,5,59,4,5,5.0,227,1,29,2,0,51,3,4,1,306,334,1,0,0,3,5.0,4,4,6,9,0,13,1,1,1,0,1,0,2,1,0,0,1.0,1,0,2,17.62
24,22,630,534,127,3.0,4.0,2,1,2,1,0,7,0,69,5,5,5.0,210,1,29,2,0,51,3,4,0,276,323,1,0,5,3,5.0,4,4,6,7,0,13,0,1,1,0,1,0,2,1,0,0,1.0,0,0,2,18.34
